what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938315184
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938315498
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506938316672
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1506938320112
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506938323811
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938324943
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938334311
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938335451
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938374044
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938375315
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938378931
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938380539
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938398874
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938399548
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938405304
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938406459
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938417622
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506938418754
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1507006801514
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1507006803297
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1507006805444
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1507006806978
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1507006806994
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1507006807008
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1507006807027
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1507006807027
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1507006807090
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1507006807113
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1507006807160
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1507268595745
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1507268595746
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1507268595746
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1507268595747
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1507268595747
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1507268595748
